environment,test_year,model,n,rmse,mae,r2,correlation
2018-NYH3,2018,T2-Mean12,416,3.386856640462041,3.0316390646473126,-3.4351890745604194,0.10425773090788604
2018-NYH3,2018,T2-Median12,416,3.3401287863420817,2.980095311053152,-3.313650305152641,0.0957959277709293
2018-OHH1,2018,Frozen-T1,380,2.7174829631983615,2.4015761783405827,-2.724356583630785,-0.11186537744914961
2018-OHH1,2018,Frozen-T2,380,1.9583269159718142,1.652451767701641,-0.9341403323869302,-0.1117309973657479
2018-OHH1,2018,T2-Mean12,380,2.278292117496858,1.9604776581551242,-1.6177996803803922,-0.13289274219132202
2018-OHH1,2018,T2-Median12,380,2.175965253734119,1.8603643180271672,-1.3879295373175426,-0.13115108202430975
2018-SCH1,2018,Frozen-T1,378,2.7726013840779475,2.4643940866603358,-3.25793541674092,0.13666536701967077
2018-SCH1,2018,Frozen-T2,378,3.3781722519816175,3.1037312249868942,-5.3210289469661,0.13249019955590294
2018-SCH1,2018,T2-Mean12,378,2.785114690507188,2.4832612316386227,-3.2964559805101494,0.17006018324263594
2018-SCH1,2018,T2-Median12,378,2.697732307497807,2.3950523962083254,-3.0310845231462036,0.1910744395266299
2018-TXH1-Dry,2018,Frozen-T1,369,1.9605570090024516,1.5942256382389168,-1.300991150611142,-0.11916065443333577
2018-TXH1-Dry,2018,Frozen-T2,369,1.8574279366882016,1.4983497045843799,-1.0652847799686516,-0.12089394699984478
2018-TXH1-Dry,2018,T2-Mean12,369,1.9627653359628165,1.5955040431775127,-1.3061776384547872,-0.10153144283006275
2018-TXH1-Dry,2018,T2-Median12,369,2.0010352610099824,1.6339663849857595,-1.39698590979468,-0.09928326673217465
2018-TXH1-Early,2018,Frozen-T1,404,1.2734691004626122,0.977784677440671,-0.09689714959427942,-0.004233993478271105
2018-TXH1-Early,2018,Frozen-T2,404,1.2962480885262202,1.0032364115851575,-0.1364892772547479,-0.003242812596922945
2018-TXH1-Early,2018,T2-Mean12,404,1.257981157995574,0.9678664150696079,-0.07037845086631034,0.02044237150506161
2018-TXH1-Early,2018,T2-Median12,404,1.2508977803056835,0.962761453994333,-0.05835832017911624,0.02612725158100258
2018-TXH1-Late,2018,Frozen-T1,434,2.147117733363679,1.867649765668822,-2.475850733778127,0.09821340898933147
2018-TXH1-Late,2018,Frozen-T2,434,2.36352128280988,2.099485896612507,-3.2118067369160253,0.10306857138438588
2018-TXH1-Late,2018,T2-Mean12,434,2.0224325231453744,1.7387496072530544,-2.0838800785431166,0.11091478864378808
2018-TXH1-Late,2018,T2-Median12,434,1.9077754085739684,1.6196970292348765,-1.7441250163431805,0.11385063433589122
2018-TXH2,2018,Frozen-T1,443,1.6866794440314692,1.3301179512634094,-0.1852924495686219,-0.06811275397747275
2018-TXH2,2018,Frozen-T2,443,1.7245022800242074,1.3661404810514863,-0.23904751062187546,-0.06966167522485961
2018-TXH2,2018,T2-Mean12,443,1.7903515602643967,1.4335325827387366,-0.3354789648738967,-0.05265600593903511
2018-TXH2,2018,T2-Median12,443,1.8241034927296003,1.467092101678834,-0.38630683196118976,-0.05197477484514146
2018-WIH1,2018,Frozen-T1,401,3.1364934224842855,2.7261868444669464,-2.0243616834568274,-0.046543269431805825
2018-WIH1,2018,Frozen-T2,401,3.0246852376258144,2.6126812409094793,-1.8125829413019945,-0.05241406915146901
2018-WIH1,2018,T2-Mean12,401,2.9166313843173945,2.499308099862003,-1.615218949209654,-0.06611169729066514
2018-WIH1,2018,T2-Median12,401,2.8461104197677494,2.4265879632520915,-1.4902815760823844,-0.0660770647292032
2018-WIH2,2018,Frozen-T1,815,1.9183033242333325,1.451410634705555,-0.10004116458466839,0.14576598333641
2018-WIH2,2018,Frozen-T2,815,2.441264470361867,1.9346759613034665,-0.7815747114814717,0.1395947831295248
2018-WIH2,2018,T2-Mean12,815,2.159757327630086,1.6682825442684919,-0.39439010011773656,0.13707094823707747
2018-WIH2,2018,T2-Median12,815,2.2338991238595076,1.7366961976397244,-0.49176871154880475,0.13885421467947415
2019-DEH1,2019,Frozen-T1,814,2.9422787718463326,2.4962220635933856,-1.47104328831429,0.056808727698955716
2019-DEH1,2019,Frozen-T2,814,2.9442111822963195,2.497494685852588,-1.4742901852350485,0.03098077882436555
2019-DEH1,2019,T2-Mean12,814,1.9705414127460217,1.5645415020927214,-0.10836767044690743,0.08225473788809995
2019-DEH1,2019,T2-Median12,814,2.4457768699537654,2.016316966468123,-0.7074436655879073,0.08088748270562411
2019-GAH2,2019,Frozen-T1,390,4.063137283170443,3.782462277168786,-6.783796242670687,-0.10667456725860922
2019-GAH2,2019,Frozen-T2,390,4.275955813851552,4.0083583203066455,-7.620548184723612,-0.07806741920353955
2019-GAH2,2019,T2-Mean12,390,4.297510401660305,4.026665573638962,-7.707677565846797,-0.10677298108282615
2019-GAH2,2019,T2-Median12,390,4.211628977744231,3.938293379687069,-7.363126704355805,-0.08596929023819637
2019-IAH4,2019,Frozen-T1,1140,2.4524546288050044,2.173192222298005,-2.5369692873837,0.0515925516625326
2019-IAH4,2019,Frozen-T2,1140,1.9425777425969506,1.6520127737387533,-1.219147362368334,0.03883316001373464
2019-IAH4,2019,T2-Mean12,1140,1.8713193170008233,1.5827975909497838,-1.0593261152571896,0.06230471488224484
2019-IAH4,2019,T2-Median12,1140,1.8690057829185378,1.5799311622809251,-1.0542373246720755,0.0667175935299632
2019-ILH1,2019,Frozen-T1,448,4.091826197513018,3.7683197948259735,-4.87256358721377,0.24019708394940983
